submission_id,company_name,country,reporting_currency,fx_rate_to_usd,sector,reporting_year,year_founded,years_operating,audit_status,submission_status,pipeline_status,investment_flag,deferred_reason,submission_anomaly,anomaly_reason,pipeline_note,ebitda_recon_flag,ebitda_variance_pct,completeness_score,doc_income_statement,doc_balance_sheet,doc_prior_year,doc_registration,revenue_local,ebitda_local,total_debt_local,total_equity_local,revenue_usd_millions,ebitda_margin_pct,revenue_growth_pct,debt_to_equity,rev_score,ebitda_score,growth_score,d2e_score
AF001,Abacus Capital Partners,Ghana,GHS,12,Fintech,2021,2021,0,Audited,Deferred,Deferred,Deferred,operating_history,False,,Company incorporated in 2021. 0 year(s) of operating history — minimum 3 required. Resubmit when eligible.,False,,,audited_accounts_2021.pdf,audited_financials_2021.pdf,annual_report_2020.pdf,cac_certificate.pdf,22320000,-1861863.0,12572459.0,7760777,,,,,,,,
AF002,Savanna Growth Fund,Tanzania,TZS,2500,Retail,2020,2012,8,Audited,Validated,Validated,Decline,,False,,,False,0.0,92.8,audited_financials_2020.pdf,audited_accounts_2020.pdf,financial_statements_2019.pdf,company_registration.pdf,4090000000,-193591008.0,6252090179.0,2803627883,1.636,-4.73,0.3,2.23,advance,decline,decline,review
AF003,Meridian Agri Holdings,Egypt,EGP,31,Logistics,2019,2013,6,Management Accounts,Partial,Deferred,Deferred,financial_history,True,"Duplicate document reference: income statement and balance sheet both reference ""company_documents_2019.pdf"". Audit status: Management Accounts. Flagged for reviewer scrutiny before pipeline proceeds.",Insufficient financial history. A minimum of two consecutive years of audited accounts is required to assess year-on-year growth. Only one year of accounts (2019) was provided. Resubmit when your accounts reflect at least two full financial years.,False,,72.4,company_documents_2019.pdf,company_documents_2019.pdf,company_documents_2019.pdf,company_registration.pdf,17267000,-4718002.0,47286802.0,13320226,,,,,,,,
AF004,Kibo Energy Solutions,Senegal,XOF,600,Healthcare,2020,2014,6,Audited,Validated,Validated,Decline,,False,,,False,0.0,97.3,annual_report_2020.pdf,audited_accounts_2020.pdf,financial_statements_2019.pdf,certificate_of_incorporation.pdf,7701000000,1886715444.0,7810512640.0,3187964343,12.835,24.5,-1.6,2.45,advance,advance,decline,review
AF005,Rift Valley Logistics,Tanzania,TZS,2500,Manufacturing,2021,2016,5,Audited,Validated,Validated,Decline,,False,,,False,0.0,88.7,audited_accounts_2021.pdf,audited_financials_2021.pdf,annual_report_2020.pdf,certificate_of_incorporation.pdf,6495000000,1332896495.0,6758413600.0,2159237572,2.598,20.52,-6.3,3.13,advance,advance,decline,decline
AF006,Nile Tech Ventures,Ghana,GHS,12,Fintech,2019,2006,13,Audited,Validated,Validated,Decline,,False,,,False,0.0,99.8,audited_financials_2019.pdf,financial_statements_2019.pdf,financial_statements_2018.pdf,cac_certificate.pdf,52548000,9147120.0,53821262.0,19571368,4.379,17.41,-2.2,2.75,advance,advance,decline,review
AF007,Baobab Financial Services,South Africa,ZAR,19,Retail,2021,2013,8,Audited,Validated,Validated,Decline,,False,,,False,0.0,85.6,financial_statements_2021.pdf,audited_financials_2021.pdf,audited_accounts_2020.pdf,business_registration.pdf,13414000,-1438486.0,15253910.0,6175672,0.706,-10.72,57.9,2.47,decline,decline,advance,review
AF008,Serengeti Retail Group,South Africa,ZAR,19,Energy,2020,2011,9,Unaudited,Incomplete,Validated,Decline,,True,"Duplicate document reference: income statement and balance sheet both reference ""company_documents_2020.pdf"". Audit status: Unaudited. Flagged for reviewer scrutiny before pipeline proceeds.",,False,,46.3,company_documents_2020.pdf,company_documents_2020.pdf,accounts_2019.pdf,company_registration.pdf,3933000,,,1403046,0.207,,-7.6,,decline,,decline,
AF009,Atlas Manufacturing Co,Tanzania,TZS,2500,Logistics,2020,2017,3,Audited,Partial,Deferred,Deferred,financial_history,False,,Insufficient financial history. A minimum of two consecutive years of audited accounts is required to assess year-on-year growth. Only one year of accounts (2020) was provided. Resubmit when your accounts reflect at least two full financial years.,False,,77.4,annual_report_2020.pdf,audited_financials_2020.pdf,audited_accounts_2019.pdf,cac_certificate.pdf,4510000000,1305200070.0,1733778749.0,2140467591,,,,,,,,
AF010,Horizon Healthcare Ltd,Nigeria,NGN,1550,Logistics,2021,2013,8,Audited,Validated,Validated,Advance,,False,,,False,0.0,91.7,audited_accounts_2021.pdf,annual_report_2021.pdf,audited_accounts_2020.pdf,business_registration.pdf,4859250000,876818664.0,1605777108.0,2199694669,3.135,18.04,15.8,0.73,advance,advance,advance,advance
AF011,Cascade Fintech,South Africa,ZAR,19,Fintech,2019,2009,10,Audited,Validated,Validated,Decline,,False,,,False,0.0,99.6,audited_accounts_2019.pdf,annual_report_2019.pdf,annual_report_2018.pdf,company_registration.pdf,19988000,-2209765.0,13316121.0,8646832,1.052,-11.06,71.0,1.54,review,decline,advance,advance
AF012,Delta Agri Exports,Rwanda,RWF,1200,Energy,2021,2018,3,Audited,Validated,Validated,Decline,,False,,,False,0.0,99.1,annual_report_2021.pdf,financial_statements_2021.pdf,audited_accounts_2020.pdf,company_registration.pdf,1116000000,-269585905.0,590727510.0,694973541,0.93,-24.16,49.6,0.85,decline,decline,advance,advance
AF013,Ember Energy Africa,Ethiopia,ETB,57,Manufacturing,2021,2011,10,Audited,Validated,Validated,Decline,,False,,,False,0.0,92.3,financial_statements_2021.pdf,audited_accounts_2021.pdf,annual_report_2020.pdf,certificate_of_incorporation.pdf,19836000,-5566465.0,30827926.0,7844256,0.348,-28.06,-11.1,3.93,decline,decline,decline,decline
